Entry No.,Region,Time Slot,Delivery Day,Article Type,Recipient Type,Distance (km),Delivery Attempt,Delivery Success,Special Instructions
136,Bangalore North,3-5,Tuesday,Package,Individual,7.75,2,False,Signature required
137,Bangalore North,3-5,Friday,Package,Government,10.87,1,False,Leave at doorstep
138,Bangalore East,10-12,Saturday,Document,Individual,12.31,2,True,No special instructions
139,Bangalore South,3-5,Saturday,Document,Individual,5.25,2,True,Call before delivery
140,Bangalore Central,12-2,Tuesday,Package,Government,3.78,2,True,Signature required
141,Bangalore East,3-5,Tuesday,Document,Government,11.88,1,False,Call before delivery
142,Bangalore East,12-2,Tuesday,Letter,Government,7.67,2,True,Leave at doorstep
143,Bangalore South,10-12,Tuesday,Letter,Government,7.46,2,True,No special instructions
144,Bangalore North,12-2,Wednesday,Package,Individual,3.68,1,True,Leave at doorstep
145,Bangalore Central,10-12,Saturday,Package,Individual,12.54,1,False,Signature required
146,Bangalore North,3-5,Thursday,Parcel,Government,7.48,2,False,Leave at doorstep
147,Bangalore East,3-5,Monday,Parcel,Individual,14.07,1,False,Call before delivery
148,Bangalore Central,12-2,Thursday,Package,Individual,1.04,2,True,Signature required
149,Bangalore North,12-2,Thursday,Package,Business,5.32,2,False,Signature required
150,Bangalore North,12-2,Monday,Letter,Business,13.18,2,True,No special instructions
151,Bangalore South,10-12,Monday,Document,Business,1.13,1,False,Call before delivery
152,Bangalore North,10-12,Monday,Document,Business,1.64,2,True,No special instructions
153,Bangalore North,3-5,Tuesday,Letter,Business,12.9,1,True,Leave at doorstep
154,Bangalore South,12-2,Friday,Parcel,Business,14.99,1,True,Signature required
155,Bangalore North,3-5,Friday,Letter,Government,8.77,1,False,Call before delivery
156,Bangalore North,12-2,Monday,Parcel,Business,2.4,1,False,Leave at doorstep
157,Bangalore East,10-12,Tuesday,Document,Individual,4.81,2,True,Call before delivery
158,Bangalore East,3-5,Friday,Letter,Government,13.21,2,False,Signature required
159,Bangalore North,3-5,Friday,Package,Government,12.64,2,True,Signature required
160,Bangalore South,12-2,Monday,Document,Individual,14.05,2,True,Leave at doorstep
161,Bangalore South,10-12,Wednesday,Package,Individual,4.25,2,False,Signature required
162,Bangalore East,12-2,Thursday,Parcel,Government,4.33,1,True,Leave at doorstep
163,Bangalore North,12-2,Saturday,Document,Business,13.65,1,True,Signature required
164,Bangalore East,3-5,Monday,Document,Individual,4.48,1,True,Signature required
165,Bangalore South,3-5,Monday,Document,Government,3.88,1,True,Leave at doorstep
166,Bangalore Central,12-2,Tuesday,Parcel,Individual,4.24,1,True,Signature required
167,Bangalore Central,10-12,Friday,Document,Individual,1.88,2,True,No special instructions
168,Bangalore South,12-2,Monday,Parcel,Government,1.54,2,False,Leave at doorstep
169,Bangalore North,12-2,Saturday,Parcel,Government,3.49,2,True,Call before delivery
170,Bangalore Central,3-5,Monday,Parcel,Business,13.2,2,True,Leave at doorstep
171,Bangalore Central,3-5,Friday,Package,Individual,2.95,1,False,Call before delivery
172,Bangalore South,12-2,Monday,Document,Business,14.85,1,True,No special instructions
173,Bangalore East,12-2,Wednesday,Letter,Government,1.24,2,True,Call before delivery
174,Bangalore South,3-5,Tuesday,Package,Government,6.89,1,True,Signature required
175,Bangalore Central,10-12,Saturday,Package,Individual,4.43,2,True,Signature required
176,Bangalore South,10-12,Saturday,Letter,Individual,8.95,2,True,Call before delivery
177,Bangalore East,10-12,Wednesday,Document,Individual,9.36,2,False,No special instructions
178,Bangalore South,10-12,Wednesday,Letter,Individual,5.09,2,False,No special instructions
179,Bangalore Central,10-12,Thursday,Parcel,Individual,3.44,2,False,Call before delivery
180,Bangalore Central,3-5,Wednesday,Letter,Government,13.69,1,True,Leave at doorstep
181,Bangalore South,10-12,Friday,Letter,Individual,2.95,1,False,Call before delivery
182,Bangalore East,10-12,Monday,Package,Business,6.94,2,False,Leave at doorstep
183,Bangalore South,12-2,Saturday,Package,Government,3.29,1,True,Signature required
184,Bangalore North,10-12,Saturday,Letter,Individual,8.03,2,False,Leave at doorstep
185,Bangalore Central,12-2,Monday,Letter,Business,8.28,2,True,No special instructions
186,Bangalore Central,10-12,Friday,Document,Government,10.41,2,False,Leave at doorstep
187,Bangalore East,12-2,Thursday,Package,Business,4.53,2,False,Call before delivery
188,Bangalore South,10-12,Tuesday,Letter,Government,9.73,1,True,Leave at doorstep
189,Bangalore East,10-12,Tuesday,Parcel,Business,3.17,2,False,Call before delivery
190,Bangalore Central,3-5,Tuesday,Document,Individual,8.07,2,True,Leave at doorstep
191,Bangalore East,12-2,Tuesday,Parcel,Business,11.21,2,True,Call before delivery
192,Bangalore East,3-5,Wednesday,Document,Individual,14.13,2,True,Call before delivery
193,Bangalore South,12-2,Saturday,Parcel,Government,13.42,2,False,Call before delivery
194,Bangalore Central,10-12,Thursday,Letter,Business,6.48,2,True,Call before delivery
195,Bangalore Central,12-2,Saturday,Parcel,Government,14.08,2,False,Leave at doorstep
196,Bangalore South,10-12,Saturday,Package,Government,3.01,2,True,No special instructions
197,Bangalore South,10-12,Wednesday,Parcel,Business,11.19,1,False,No special instructions
198,Bangalore Central,3-5,Wednesday,Package,Individual,1.65,2,True,Call before delivery
199,Bangalore North,12-2,Friday,Letter,Business,5.19,1,False,Leave at doorstep
200,Bangalore South,3-5,Wednesday,Package,Individual,7.07,1,False,Signature required
201,Bangalore North,3-5,Tuesday,Letter,Individual,8.37,2,False,Signature required
202,Bangalore South,10-12,Wednesday,Package,Government,8.91,2,True,Signature required
203,Bangalore North,3-5,Friday,Parcel,Government,7.7,1,True,No special instructions
204,Bangalore East,10-12,Tuesday,Letter,Individual,2.07,1,False,Call before delivery
205,Bangalore Central,3-5,Tuesday,Parcel,Government,6.22,2,False,No special instructions
206,Bangalore East,12-2,Monday,Document,Business,12.62,1,False,Call before delivery
207,Bangalore East,12-2,Friday,Letter,Government,9.43,2,False,Call before delivery
208,Bangalore East,10-12,Friday,Document,Government,10.6,2,True,Call before delivery
209,Bangalore Central,10-12,Wednesday,Package,Individual,10.11,2,True,Leave at doorstep
210,Bangalore Central,12-2,Friday,Parcel,Individual,11.0,1,True,Leave at doorstep
211,Bangalore South,12-2,Thursday,Package,Individual,1.2,2,True,Signature required
212,Bangalore Central,10-12,Tuesday,Letter,Individual,3.15,2,False,No special instructions
213,Bangalore Central,3-5,Thursday,Parcel,Individual,14.3,2,True,Signature required
214,Bangalore North,3-5,Saturday,Package,Individual,9.54,2,False,Leave at doorstep
215,Bangalore East,10-12,Wednesday,Parcel,Government,9.65,2,True,No special instructions
216,Bangalore North,12-2,Wednesday,Document,Government,10.91,2,True,Signature required
217,Bangalore South,3-5,Thursday,Package,Individual,11.18,1,True,No special instructions
218,Bangalore South,10-12,Tuesday,Document,Individual,1.84,2,True,Call before delivery
219,Bangalore Central,3-5,Wednesday,Package,Individual,2.96,2,True,Leave at doorstep
220,Bangalore South,3-5,Friday,Parcel,Business,6.22,2,True,No special instructions
221,Bangalore Central,3-5,Wednesday,Letter,Individual,4.64,1,True,Call before delivery
222,Bangalore North,12-2,Friday,Package,Business,5.51,2,False,Signature required
223,Bangalore Central,10-12,Monday,Parcel,Individual,9.84,1,True,Signature required
224,Bangalore Central,12-2,Monday,Letter,Government,12.28,1,False,Leave at doorstep
225,Bangalore South,10-12,Wednesday,Package,Government,13.77,1,True,Leave at doorstep
226,Bangalore Central,12-2,Monday,Package,Government,11.8,2,False,Call before delivery
227,Bangalore East,10-12,Tuesday,Document,Individual,10.74,1,False,Signature required
228,Bangalore North,10-12,Saturday,Parcel,Business,10.36,1,True,Signature required
229,Bangalore Central,3-5,Monday,Document,Individual,6.48,1,False,Leave at doorstep
230,Bangalore Central,12-2,Friday,Document,Individual,2.03,1,True,No special instructions
231,Bangalore East,3-5,Saturday,Letter,Individual,13.03,1,False,Leave at doorstep
232,Bangalore North,12-2,Thursday,Package,Government,5.67,2,False,Leave at doorstep
233,Bangalore Central,12-2,Wednesday,Parcel,Individual,11.65,1,False,No special instructions
234,Bangalore South,10-12,Wednesday,Document,Business,10.98,1,False,Leave at doorstep
235,Bangalore East,3-5,Saturday,Document,Business,13.67,1,True,No special instructions
236,Bangalore North,12-2,Monday,Package,Individual,3.07,2,True,Call before delivery
237,Bangalore East,3-5,Thursday,Package,Individual,8.43,2,False,Call before delivery
238,Bangalore South,10-12,Thursday,Letter,Government,11.47,1,False,Call before delivery
239,Bangalore South,3-5,Saturday,Package,Business,12.53,2,True,No special instructions
240,Bangalore Central,12-2,Monday,Parcel,Individual,2.25,2,False,Signature required
241,Bangalore South,10-12,Saturday,Parcel,Government,3.55,1,True,Signature required
242,Bangalore East,12-2,Thursday,Document,Business,12.49,2,False,Leave at doorstep
243,Bangalore North,10-12,Monday,Package,Individual,7.04,1,True,Signature required
244,Bangalore South,3-5,Friday,Package,Government,8.88,1,True,No special instructions
245,Bangalore South,3-5,Monday,Letter,Individual,5.02,2,False,Call before delivery
246,Bangalore South,12-2,Thursday,Package,Individual,4.76,2,True,Leave at doorstep
247,Bangalore South,12-2,Saturday,Letter,Business,13.95,1,False,Signature required
248,Bangalore North,3-5,Thursday,Package,Business,3.86,1,True,Call before delivery
249,Bangalore North,3-5,Monday,Document,Government,3.41,1,False,Leave at doorstep
250,Bangalore North,12-2,Friday,Document,Government,3.66,2,False,Call before delivery
251,Bangalore East,10-12,Tuesday,Parcel,Government,1.54,2,False,Call before delivery
252,Bangalore South,12-2,Thursday,Package,Government,4.18,2,True,Signature required
253,Bangalore North,3-5,Monday,Letter,Individual,7.87,1,False,No special instructions
254,Bangalore East,10-12,Saturday,Letter,Business,9.08,2,False,Signature required
255,Bangalore East,12-2,Wednesday,Package,Business,10.72,1,False,No special instructions
256,Bangalore North,10-12,Monday,Document,Individual,13.47,2,False,Signature required
257,Bangalore North,10-12,Tuesday,Document,Government,12.56,2,True,Call before delivery
258,Bangalore East,10-12,Tuesday,Document,Individual,6.58,2,False,Call before delivery
259,Bangalore North,12-2,Tuesday,Document,Government,9.86,2,True,Leave at doorstep
260,Bangalore East,12-2,Friday,Letter,Individual,13.42,1,True,Call before delivery
261,Bangalore East,10-12,Saturday,Package,Individual,7.87,2,False,Signature required
262,Bangalore South,10-12,Tuesday,Parcel,Government,9.32,2,False,No special instructions
263,Bangalore South,10-12,Thursday,Package,Individual,13.62,2,True,Leave at doorstep
264,Bangalore East,10-12,Thursday,Letter,Business,13.35,1,False,Call before delivery
265,Bangalore North,10-12,Tuesday,Document,Individual,8.85,2,False,Signature required
266,Bangalore South,3-5,Saturday,Parcel,Individual,8.67,1,True,No special instructions
267,Bangalore South,10-12,Thursday,Document,Individual,4.9,1,True,Signature required
268,Bangalore South,12-2,Wednesday,Parcel,Individual,13.16,1,False,Call before delivery
269,Bangalore East,3-5,Wednesday,Parcel,Individual,14.32,2,True,Signature required
270,Bangalore North,10-12,Monday,Package,Individual,7.29,1,False,Leave at doorstep
271,Bangalore East,12-2,Saturday,Package,Individual,6.15,1,False,Signature required
272,Bangalore North,10-12,Tuesday,Letter,Individual,4.09,1,True,No special instructions
273,Bangalore East,10-12,Saturday,Parcel,Government,10.93,1,False,No special instructions
274,Bangalore East,3-5,Friday,Document,Government,1.97,2,True,Call before delivery
275,Bangalore Central,10-12,Thursday,Document,Business,9.02,2,False,Signature required
276,Bangalore East,10-12,Thursday,Letter,Individual,8.03,1,True,No special instructions
277,Bangalore South,10-12,Tuesday,Parcel,Business,5.54,2,True,Leave at doorstep
278,Bangalore South,12-2,Saturday,Parcel,Individual,4.54,1,False,Leave at doorstep
279,Bangalore Central,12-2,Monday,Parcel,Government,14.9,1,True,Signature required
280,Bangalore Central,10-12,Tuesday,Package,Business,14.42,1,False,Call before delivery
281,Bangalore East,10-12,Thursday,Document,Individual,7.85,1,False,Leave at doorstep
282,Bangalore East,3-5,Thursday,Package,Business,13.38,1,True,Call before delivery
283,Bangalore South,3-5,Tuesday,Letter,Individual,13.07,2,True,Leave at doorstep
284,Bangalore Central,3-5,Tuesday,Document,Individual,12.99,1,True,No special instructions
285,Bangalore North,12-2,Monday,Letter,Individual,10.38,1,True,Signature required
286,Bangalore Central,12-2,Thursday,Document,Government,13.07,1,False,Call before delivery
287,Bangalore East,12-2,Friday,Parcel,Business,7.8,1,True,Call before delivery
288,Bangalore South,10-12,Wednesday,Package,Government,3.91,2,False,Call before delivery
289,Bangalore South,10-12,Thursday,Parcel,Government,14.46,1,False,Signature required
290,Bangalore Central,12-2,Monday,Parcel,Government,9.91,1,False,Leave at doorstep
291,Bangalore South,12-2,Thursday,Document,Government,12.18,1,True,Signature required
292,Bangalore Central,3-5,Wednesday,Letter,Business,10.19,1,False,Call before delivery
293,Bangalore East,10-12,Wednesday,Letter,Government,4.43,1,False,Call before delivery
294,Bangalore South,12-2,Wednesday,Package,Individual,3.37,1,False,Call before delivery
295,Bangalore East,10-12,Thursday,Package,Individual,5.23,1,True,Signature required
296,Bangalore North,12-2,Monday,Letter,Business,14.79,1,False,Leave at doorstep
297,Bangalore Central,12-2,Thursday,Parcel,Individual,7.4,2,False,Signature required
298,Bangalore North,3-5,Saturday,Letter,Government,3.25,1,False,Leave at doorstep
299,Bangalore East,3-5,Tuesday,Document,Individual,12.91,2,True,No special instructions
300,Bangalore North,3-5,Friday,Package,Business,9.95,1,False,Leave at doorstep
301,Bangalore North,12-2,Tuesday,Document,Government,2.05,2,False,Signature required
302,Bangalore Central,12-2,Thursday,Letter,Government,6.5,1,False,No special instructions
303,Bangalore North,10-12,Wednesday,Letter,Business,8.92,1,True,No special instructions
304,Bangalore East,10-12,Friday,Parcel,Government,8.62,2,False,Call before delivery
305,Bangalore North,3-5,Tuesday,Package,Business,14.21,2,True,Call before delivery
306,Bangalore East,10-12,Tuesday,Package,Business,8.91,2,True,Leave at doorstep
307,Bangalore South,12-2,Thursday,Document,Business,3.11,1,False,No special instructions
308,Bangalore South,10-12,Monday,Parcel,Business,13.11,1,True,Call before delivery
309,Bangalore South,12-2,Saturday,Package,Business,2.59,1,True,Call before delivery
310,Bangalore Central,10-12,Wednesday,Package,Individual,4.03,2,False,No special instructions
311,Bangalore South,3-5,Tuesday,Document,Business,3.3,2,True,Signature required
312,Bangalore East,3-5,Thursday,Document,Individual,2.97,1,True,Signature required
313,Bangalore North,3-5,Monday,Package,Business,1.35,2,False,Call before delivery
314,Bangalore Central,3-5,Thursday,Parcel,Individual,9.02,2,False,No special instructions
315,Bangalore North,10-12,Saturday,Parcel,Business,8.14,1,False,Call before delivery
316,Bangalore East,3-5,Tuesday,Package,Individual,11.85,1,True,Leave at doorstep
317,Bangalore North,12-2,Saturday,Parcel,Business,10.03,1,False,No special instructions
318,Bangalore East,3-5,Tuesday,Document,Individual,7.09,2,False,No special instructions
319,Bangalore South,10-12,Tuesday,Letter,Individual,10.05,2,False,Call before delivery
320,Bangalore Central,3-5,Friday,Package,Business,1.28,2,False,Leave at doorstep
321,Bangalore Central,3-5,Friday,Parcel,Individual,6.8,2,True,Call before delivery
322,Bangalore Central,3-5,Tuesday,Document,Government,11.54,2,True,Leave at doorstep
323,Bangalore East,3-5,Saturday,Package,Government,5.66,1,True,Signature required
324,Bangalore North,3-5,Monday,Document,Individual,7.54,1,True,Call before delivery
325,Bangalore South,3-5,Friday,Document,Individual,4.84,1,True,No special instructions
326,Bangalore East,12-2,Thursday,Document,Business,8.42,2,True,Leave at doorstep
327,Bangalore East,3-5,Friday,Document,Government,3.42,2,True,Call before delivery
328,Bangalore North,3-5,Monday,Letter,Individual,13.53,2,True,Call before delivery
329,Bangalore East,3-5,Thursday,Letter,Business,1.87,2,False,No special instructions
330,Bangalore Central,10-12,Wednesday,Document,Individual,14.17,2,True,No special instructions
331,Bangalore East,3-5,Thursday,Package,Business,1.09,2,True,Signature required
332,Bangalore East,10-12,Saturday,Letter,Business,1.98,1,True,Leave at doorstep
333,Bangalore South,10-12,Friday,Package,Business,8.1,1,True,No special instructions
334,Bangalore North,3-5,Wednesday,Document,Government,2.4,2,False,No special instructions
335,Bangalore Central,3-5,Tuesday,Package,Individual,11.41,2,True,No special instructions
336,Bangalore North,3-5,Monday,Parcel,Individual,5.08,1,True,Call before delivery
337,Bangalore Central,3-5,Tuesday,Document,Individual,5.66,2,True,Call before delivery
338,Bangalore East,3-5,Monday,Parcel,Individual,7.82,2,False,Leave at doorstep
339,Bangalore North,12-2,Friday,Letter,Government,10.44,1,True,Call before delivery
340,Bangalore Central,12-2,Tuesday,Package,Business,11.75,2,True,Call before delivery
341,Bangalore Central,3-5,Monday,Package,Government,12.24,2,True,No special instructions
342,Bangalore South,3-5,Thursday,Letter,Government,13.01,2,True,Leave at doorstep
343,Bangalore East,3-5,Thursday,Package,Government,10.25,1,True,Call before delivery
344,Bangalore Central,12-2,Saturday,Parcel,Business,2.44,2,True,Call before delivery
